player,nation,position,pool,multiplier,goals,assists,clean_sheets,motm,yellow_cards,red_cards,missed_penalties
L. Martínez,ARG,FWD,1,1.0,0,0,0,0,0,0,0
L. Messi,ARG,FWD,1,1.0,0,0,0,0,0,0,0
K. De Bruyne,BEL,MID,1,1.0,0,0,0,0,0,0,0
V. Júnior,BRA,FWD,1,1.0,0,0,0,0,0,0,0
O. Dembele,FRA,FWD,1,1.0,0,0,0,0,0,0,0
H. Kane,ENG,FWD,1,1.0,0,0,0,0,0,0,0
J. Bellingham,ENG,MID,1,1.0,0,0,0,0,0,0,0
K. Mbappé,FRA,FWD,1,1.0,0,0,0,0,0,0,0
J. Musiala,GER,MID,1,1.0,0,0,0,0,0,0,0
E. Haaland,NOR,FWD,1,1.0,0,0,0,0,0,0,0
C. Ronaldo,POR,FWD,1,1.0,0,0,0,0,0,0,0
L. Yamal,ESP,FWD,1,1.0,0,0,0,0,0,0,0
J. Álvarez,ARG,FWD,2,1.0,0,0,0,0,0,0,0
R. Lukaku,BEL,FWD,2,1.0,0,0,0,0,0,0,0
Raphinha,BRA,FWD,2,1.0,0,0,0,0,0,0,0
Rodrygo,BRA,FWD,2,1.0,0,0,0,0,0,0,0
B. Saka,ENG,FWD,2,1.0,0,0,0,0,0,0,0
A. Griezmann,FRA,FWD,2,1.0,0,0,0,0,0,0,0
M. Salah,EGY,FWD,2,1.0,0,0,0,0,0,0,0
C. Gakpo,NED,FWD,2,1.0,0,0,0,0,0,0,0
D. Malen,NED,FWD,2,1.0,0,0,0,0,0,0,0
J. Félix,POR,FWD,2,1.0,0,0,0,0,0,0,0
R. Leão,POR,FWD,2,1.0,0,0,0,0,0,0,0
F. Torres,ESP,FWD,2,1.0,0,0,0,0,0,0,0
A. Mac Allister,ARG,MID,3,1.0,0,0,0,0,0,0,0
E. Fernández,ARG,MID,3,1.0,0,0,0,0,0,0,0
L. Paquetá,BRA,MID,3,1.0,0,0,0,0,0,0,0
F. Wirtz,GER,MID,3,1.0,0,0,0,0,0,0,0
D. Rice,ENG,MID,3,1.0,0,0,0,0,0,0,0
İ. Gündoğan,GER,MID,3,1.0,0,0,0,0,0,0,0
X. Simons,NED,MID,3,1.0,0,0,0,0,0,0,0
B. Silva,POR,MID,3,1.0,0,0,0,0,0,0,0
B. Fernandes,POR,MID,3,1.0,0,0,0,0,0,0,0
Pedri,ESP,MID,3,1.0,0,0,0,0,0,0,0
Rodri,ESP,MID,3,1.0,0,0,0,0,0,0,0
F. Valverde,URU,MID,3,1.0,0,0,0,0,0,0,0
N. Otamendi,ARG,DEF,4,1.0,0,0,0,0,0,0,0
Gabriel,BRA,DEF,4,1.0,0,0,0,0,0,0,0
Marquinhos,BRA,DEF,4,1.0,0,0,0,0,0,0,0
J. Gvardiol,CRO,DEF,4,1.0,0,0,0,0,0,0,0
L. Hernández,FRA,DEF,4,1.0,0,0,0,0,0,0,0
W. Saliba,FRA,DEF,4,1.0,0,0,0,0,0,0,0
A. Rüdiger,GER,DEF,4,1.0,0,0,0,0,0,0,0
A. Hakimi,MOR,DEF,4,1.0,0,0,0,0,0,0,0
V. van Dijk,NED,DEF,4,1.0,0,0,0,0,0,0,0
N. O'Reilly,ENG,DEF,4,1.0,0,0,0,0,0,0,0
R. Dias,POR,DEF,4,1.0,0,0,0,0,0,0,0
M. Cucurella,ESP,DEF,4,1.0,0,0,0,0,0,0,0
M. Sabitzer,AUT,MID,5,1.2,0,0,0,0,0,0,0
A. Davies,CAN,DEF,5,1.2,0,0,0,0,0,0,0
L. Díaz,COL,FWD,5,1.2,0,0,0,0,0,0,0
M. Taremi,IRN,FWD,5,1.2,0,0,0,0,0,0,0
T. Kubo,JPN,MID,5,1.2,0,0,0,0,0,0,0
S. Mané,SEN,FWD,5,1.2,0,0,0,0,0,0,0
A. Robertson,SCO,DEF,5,1.2,0,0,0,0,0,0,0
V. Gyökeres,SWE,FWD,5,1.2,0,0,0,0,0,0,0
G. Xhaka,SUI,MID,5,1.2,0,0,0,0,0,0,0
H. Çalhanoğlu,TUR,MID,5,1.2,0,0,0,0,0,0,0
C. Pulisic,USA,FWD,5,1.2,0,0,0,0,0,0,0
D. Núñez,URU,FWD,5,1.2,0,0,0,0,0,0,0
M. Gregoritsch,AUT,FWD,6,1.3,0,0,0,0,0,0,0
J. David,CAN,FWD,6,1.3,0,0,0,0,0,0,0
J. Rodríguez,COL,MID,6,1.3,0,0,0,0,0,0,0
S. Azmoun,IRN,FWD,6,1.3,0,0,0,0,0,0,0
A. Semenyo,GHA,FWD,6,1.3,0,0,0,0,0,0,0
L. Kang-in,KOR,MID,6,1.3,0,0,0,0,0,0,0
S. McTominay,SCO,MID,6,1.3,0,0,0,0,0,0,0
Elanga,SWE,FWD,6,1.3,0,0,0,0,0,0,0
B. Embolo,SUI,FWD,6,1.3,0,0,0,0,0,0,0
A. Güler,TUR,MID,6,1.3,0,0,0,0,0,0,0
F. Balogun,USA,FWD,6,1.3,0,0,0,0,0,0,0
T. Weah,USA,FWD,6,1.3,0,0,0,0,0,0,0
M. Amoura,ALG,FWD,7,1.6,0,0,0,0,0,0,0
R. Mahrez,ALG,FWD,7,1.6,0,0,0,0,0,0,0
D. Livramento,CPV,FWD,7,1.6,0,0,0,0,0,0,0
C. Summerville,CUW,FWD,7,1.6,0,0,0,0,0,0,0
Y. Wissa,DRC,FWD,7,1.6,0,0,0,0,0,0,0
M. Caicedo,ECU,MID,7,1.6,0,0,0,0,0,0,0
M. Kudus,GHA,FWD,7,1.6,0,0,0,0,0,0,0
S. Giménez,MEX,FWD,7,1.6,0,0,0,0,0,0,0
C. Wood,NZL,FWD,7,1.6,0,0,0,0,0,0,0
A. Afif,QAT,FWD,7,1.6,0,0,0,0,0,0,0
A. Hrustić,AUS,MID,8,1.7,0,0,0,0,0,0,0
E. Bajraktarević,BOS,FWD,8,1.7,0,0,0,0,0,0,0
R. Mendes,CPV,FWD,8,1.7,0,0,0,0,0,0,0
L. Krejčí,CZE,DEF,8,1.7,0,0,0,0,0,0,0
F. Kessié,CIV,MID,8,1.7,0,0,0,0,0,0,0
E. Valencia,ECU,FWD,8,1.7,0,0,0,0,0,0,0
Trézéguet,EGY,FWD,8,1.7,0,0,0,0,0,0,0
D. Nazon,HAI,FWD,8,1.7,0,0,0,0,0,0,0
A. Hussein,IRQ,FWD,8,1.7,0,0,0,0,0,0,0
M. Al-Taamari,JOR,FWD,8,1.7,0,0,0,0,0,0,0
